UF,MUNICIPIO,REDE,2005,2007,2009,2011,2013,2015,2017,2019
AM,Coari,Pública,2.6,2.8,3.1,3.2,3.4,3.5,3.7,3.8
AM,Codajás,Estadual,3.0,3.2,3.5,3.9,3.5,3.9,4.0,3.9
AM,Codajás,Municipal,-,-,-,4.5,3.2,3.2,3.0,3.7
AM,Codajás,Pública,3.0,3.2,3.7,3.9,3.5,3.8,3.8,3.9
AM,Eirunepé,Estadual,2.8,3.1,3.2,4.1,4.0,4.0,4.1,3.7
AM,Eirunepé,Municipal,-,-,-,-,-,-,-,-
AM,Eirunepé,Pública,2.6,2.8,3.0,3.9,3.8,3.9,3.9,3.5
AM,Envira,Estadual,2.6,3.5,4.0,5.6,5.4,5.1,4.7,4.5
AM,Envira,Municipal,-,-,-,1.8,3.4,3.2,2.5,2.4
AM,Envira,Pública,2.5,3.4,3.8,4.8,4.9,4.5,3.6,3.6
AM,Fonte Boa,Estadual,2.9,4.3,5.5,3.4,3.4,3.0,3.3,3.8
AM,Fonte Boa,Municipal,-,4.2,4.7,2.6,2.9,2.8,-,2.4
AM,Fonte Boa,Pública,2.8,4.2,5.3,3.2,3.2,2.9,2.7,3.0
AM,Guajará,Estadual,2.9,3.4,3.6,3.6,3.4,4.0,4.1,3.6
AM,Guajará,Pública,2.9,3.4,3.6,3.6,3.4,4.0,4.1,3.6
AM,Humaitá,Estadual,2.8,3.2,3.9,4.1,4.0,4.5,4.4,4.3
AM,Humaitá,Municipal,2.4,3.2,3.1,3.7,3.7,3.7,3.6,3.7
AM,Humaitá,Pública,2.8,3.2,3.6,4.0,3.9,4.1,4.1,4.0
AM,Ipixuna,Estadual,2.4,3.3,3.4,4.4,4.1,3.6,3.6,3.3
AM,Ipixuna,Municipal,-,-,-,-,-,-,-,-
AM,Ipixuna,Pública,2.4,3.3,3.4,4.4,4.1,3.6,3.6,3.3
AM,Iranduba,Estadual,2.5,2.7,3.1,3.7,3.2,4.2,4.3,4.5
AM,Iranduba,Municipal,-,3.0,3.1,3.4,3.1,3.8,4.1,4.4
AM,Iranduba,Pública,2.6,2.8,3.2,3.5,3.2,3.9,4.1,4.4
AM,Itacoatiara,Estadual,2.8,3.3,4.0,4.3,4.2,4.8,5.1,5.2
AM,Itacoatiara,Municipal,2.9,3.2,3.1,3.2,3.5,4.0,4.4,4.1
AM,Itacoatiara,Pública,2.8,3.3,3.6,3.8,3.9,4.5,4.9,4.8
AM,Itamarati,Estadual,2.5,4.7,5.2,5.4,4.0,3.6,3.5,3.3
AM,Itamarati,Municipal,-,-,-,-,-,2.4,2.3,-
AM,Itamarati,Pública,2.4,4.5,4.9,4.9,3.5,3.0,2.9,2.8
AM,Itapiranga,Estadual,2.8,3.4,3.9,3.8,4.0,4.9,5.6,5.1
AM,Itapiranga,Municipal,-,-,4.0,3.0,3.9,3.4,3.7,4.1
AM,Itapiranga,Pública,2.9,3.4,3.9,3.7,4.0,4.2,4.8,4.8
AM,Japurá,Estadual,2.3,2.5,3.2,3.0,3.9,3.9,4.1,4.1
AM,Japurá,Municipal,-,-,-,-,-,-,-,-
AM,Japurá,Pública,2.3,2.5,3.0,2.9,3.7,3.4,3.4,3.4
AM,Juruá,Estadual,2.8,3.6,3.6,4.2,2.6,4.1,3.9,3.4
AM,Juruá,Municipal,-,-,-,-,-,-,-,-
