ano,id_municipio,PT,OUTRO
2002,1711100,455,703
2002,1713304,2216,2711
2002,2903276,2750,608
2002,2903508,2302,1427
2002,2904050,1752,1806
2002,2905107,2800,809
2002,2905602,5684,1464
2002,2905909,5106,1427
2002,2906899,1381,1246
2002,2907004,1903,300
2002,2907202,11663,3271
2002,2907509,16886,1548
2002,2910057,14654,1182
2002,2910727,13442,5254
2002,2911600,4363,1277
2002,2911808,4064,807
2002,2912103,4664,3241
2002,2912202,1542,957
2002,2912301,2250,1338
2002,2912806,1295,788
2002,2913309,2413,600
2002,2914703,13937,4557
2002,2919108,1029,702
2002,2919405,2567,1312
2002,2925758,1103,3398
2002,2925808,5163,1957
2002,2925956,3184,1610
2002,2928950,2848,1119
2002,2929255,4499,682
2002,2931509,4617,1708
2002,2932408,4126,908
2002,2933455,1872,2033
2002,4201273,1947,461
2002,4202156,1088,221
2002,4202909,27731,9480
2002,4203956,8648,1098
2002,4204251,6060,868
2002,4204806,10475,5037
2002,4205902,11850,7966
2002,4206702,6705,2639
2002,4208005,2594,629
2002,4208401,6119,1230
2002,4208500,6328,3337
2002,4210209,819,590
2002,4210308,2807,731
2002,4212502,3334,3065
2002,4215208,1836,496
2002,4215752,1143,177
2002,4216057,1104,448
2002,4216602,56139,21070
2002,4216800,2151,1859
2002,4217253,1287,975
2002,4217808,4338,2434
2002,4219358,1506,691
2002,3300308,23447,3857
2002,3302452,2023,972
2002,3302809,4745,863
2002,3304607,1169,376
2002,3305000,4936,3055
2002,4100103,996,1932
2002,4100202,1400,669
2002,4101903,2602,3881
2002,4103503,1742,1597
2002,4105904,5713,2961
2002,4107801,1231,1621
2002,4112801,1933,2217
2002,4115853,1473,833
2002,4117008,1297,1922
2002,4117222,1346,1050
2002,4118105,2434,1362
2002,4118402,13618,15374
2002,4120606,11534,7614
2002,4121406,4746,1862
2002,4122172,504,781
2002,4122800,1487,700
2002,4123824,1463,369
2002,4301750,588,1591
2002,4301859,689,743
2002,4302659,1052,1422
2002,4304655,583,713
2002,4304689,2492,1526
2002,4304952,609,862
2002,4306403,6955,4714
2002,4306429,666,361
2002,4306932,3091,1287
2002,4307005,29845,11511
2002,4307450,1204,763
2002,4307807,7256,5714
2002,4308052,695,544
2002,4308607,6900,6910
2002,4308656,743,474
2002,4309159,878,559
2002,4309902,1722,2118
2002,4310579,497,478
2002,4312153,1286,629
2002,4313003,600,1122
2002,4313466,663,372
2002,4313490,1349,605
2002,4313607,1496,1002
2002,4313904,9113,4656
2002,4314100,50877,26646
2002,4314704,2800,2137
2002,4314902,381836,261628
2002,4316436,885,985
2002,4316477,1023,525
2002,4316972,728,708
2002,4318408,4420,4144
2002,4319406,3872,4291
2002,4320008,44936,15953
2002,4320206,2742,2464
2002,4320354,927,1364
2002,4320701,3016,3475
2002,4321436,1250,2055
2002,4322400,24112,22512
2002,3103504,25548,15162
2002,3106101,1159,429
2002,3106408,2396,1607
2002,3109402,5694,2437
2002,3110707,3056,2096
2002,3113305,6301,4201
2002,3115359,1531,539
2002,3115508,6596,2279
2002,3116159,1029,1316
2002,3118106,1023,495
2002,3118403,4533,2467
2002,3127206,990,460
2002,3127370,519,536
2002,3127503,569,958
2002,3129301,2481,1504
2002,3130705,1458,666
2002,3132107,3408,1185
2002,3133402,2544,2895
2002,3136652,4800,1251
2002,3136900,1405,1743
2002,3137106,1648,1635
2002,3137403,2421,2751
2002,3138708,1102,975
2002,3139508,4754,2438
2002,3140159,2241,498
2002,3140209,677,451
2002,3140308,1736,260
2002,3141504,1074,719
2002,3141900,1405,445
2002,3144003,5931,3512
2002,3145851,1206,593
2002,3148103,19206,8382
2002,3151503,7407,5179
2002,3152709,2145,1721
2002,3154804,3155,590
2002,3156007,1951,1848
2002,3157252,1660,1505
2002,3159308,1252,682
2002,3162450,1005,883
2002,3162609,2129,753
2002,3162807,3018,2485
2002,3164704,15131,9260
2002,3167707,1138,716
2002,3168408,3991,2598
2002,3169703,3347,2215
2002,3170057,2434,1658
2002,3170750,799,1496
2002,3171402,1468,382
2002,3501301,5070,3104
2002,3501509,582,540
2002,3503158,613,392
2002,3505104,1244,919
2002,3506003,83630,35691
2002,3506508,21097,16617
2002,3507753,792,383
2002,3507902,3880,4003
2002,3510153,836,559
2002,3513603,2957,4025
2002,3513900,1868,3349
2002,3514106,5519,3414
2002,3514601,1593,1121
2002,3518107,1069,1122
2002,3522109,14208,9902
2002,3524006,6678,4474
2002,3524907,881,1196
2002,3526308,1196,1889
2002,3527405,4151,4055
2002,3527702,1068,705
2002,3528403,11259,5153
2002,3530508,15853,11170
2002,3531407,4687,3715
2002,3533908,9892,8699
2002,3535705,1203,1096
2002,3536703,8391,5775
2002,3536901,634,638
2002,3537602,8765,7369
2002,3538006,31143,18970
2002,3539301,17043,9513
2002,3539806,26095,10181
2002,3545100,653,1164
2002,3545209,32119,10887
2002,3546009,3233,2319
2002,3547700,4707,3609
2002,3548302,750,424
2002,3549607,948,1033
2002,3550209,5768,5468
2002,3550803,2214,2237
2002,3550902,3320,2467
2002,3552106,5320,7105
2002,3553302,5201,4087
2002,3553856,793,928
2002,3554102,68587,30310
2002,3554409,2355,1391
2002,3554755,527,263
2002,1200401,64418,18209
2002,1300839,854,578
2002,1303502,960,1086
2002,1303569,2281,828
2002,1304062,3077,2980
2002,5002407,4263,3303
2002,5002605,3241,3324
2002,5004007,2180,1816
2002,5005004,5887,3597
2002,5005152,1226,997
2002,5005681,3480,2826
2002,5007695,3541,3090
2002,5008404,1081,1204
2002,5100409,1505,1727
2002,5102504,17728,9866
2002,5102694,510,1039
2002,5103437,757,784
2002,5104542,634,528
2002,5106174,179,303
2002,5106455,376,341
2002,5107198,402,425
