"Produto/Unidade","Mês/Ano","Preço Médio"
"BORRACHA LATEX (kg)","06/2022",4.25
"BORRACHA NATURAL (kg)","01/2018",1.89
"BORRACHA NATURAL (kg)","02/2018",1.95
"BORRACHA NATURAL (kg)","03/2018",2
"BORRACHA NATURAL (kg)","04/2018",1.94
"BORRACHA NATURAL (kg)","05/2018",1.95
"BORRACHA NATURAL (kg)","06/2018",1.99
"BORRACHA NATURAL (kg)","07/2018",2.15
"BORRACHA NATURAL (kg)","08/2018",2.2
"BORRACHA NATURAL (kg)","10/2018",2.4
"BORRACHA NATURAL (kg)","11/2018",2.5
"BORRACHA NATURAL (kg)","12/2018",2.46
"BORRACHA NATURAL (kg)","01/2019",2.39
"BORRACHA NATURAL (kg)","02/2019",2.25
"BORRACHA NATURAL (kg)","03/2019",2.3
"BORRACHA NATURAL (kg)","04/2019",2.37
"BORRACHA NATURAL (kg)","05/2019",2.42
"BORRACHA NATURAL (kg)","06/2019",2.78
"BORRACHA NATURAL (kg)","07/2019",2.8
"BORRACHA NATURAL (kg)","08/2019",2.77
"BORRACHA NATURAL (kg)","09/2019",2.99
"BORRACHA NATURAL (kg)","10/2019",2.88
"BORRACHA NATURAL (kg)","11/2019",2.84
"BORRACHA NATURAL (kg)","12/2019",2.92
"BORRACHA NATURAL (kg)","01/2020",2.92
"BORRACHA NATURAL (kg)","02/2020",3.23
"BORRACHA NATURAL (kg)","03/2020",3.23
"BORRACHA NATURAL (kg)","04/2020",3.1
"BORRACHA NATURAL (kg)","05/2020",3.08
"BORRACHA NATURAL (kg)","06/2020",3.01
"BORRACHA NATURAL (kg)","07/2020",3.07
"BORRACHA NATURAL (kg)","08/2020",2.91
"BORRACHA NATURAL (kg)","09/2020",2.91
"BORRACHA NATURAL (kg)","10/2020",2.98
"BORRACHA NATURAL (kg)","11/2020",3.07
"BORRACHA NATURAL (kg)","12/2020",5.13
"BORRACHA NATURAL (kg)","01/2021",5.13
"BORRACHA NATURAL (kg)","02/2021",5.33
"BORRACHA NATURAL (kg)","03/2021",5.39
"BORRACHA NATURAL (kg)","04/2021",5.79
"BORRACHA NATURAL (kg)","05/2021",5.98
"BORRACHA NATURAL (kg)","06/2021",5.95
"BORRACHA NATURAL (kg)","07/2021",5.98
"BORRACHA NATURAL (kg)","08/2021",5.98
"BORRACHA NATURAL (kg)","09/2021",5.98
"BORRACHA NATURAL (kg)","10/2021",6.02
"BORRACHA NATURAL (kg)","11/2021",6.03
"BORRACHA NATURAL (kg)","12/2021",6.16
"BORRACHA NATURAL (kg)","01/2022",6.06
"BORRACHA NATURAL (kg)","02/2022",6.65
