MONTH,YEAR,STATE,TYPE,MIN,AVG,MAX
"04","2020","MS","GASOLINA",3.79,4.2109805555555555,4.95
"07","2016","RN","GASOLINA",3.479,3.8153682008368204,3.94
"02","2016","RR","DIESEL",3.15,3.2135833333333332,3.309
"04","2016","PR","DIESEL",2.649,2.8766859956236326,3.164
"11","2019","BA","GNV",2.99,3.1735857142857142,3.399
"04","2020","MT","GASOLINA",3.599,4.071673046251993,4.85
"07","2016","AM","GASOLINA",3.289,3.931830115830116,4.65
"09","2018","ES","GASOLINA",4.259,4.712623931623932,5.12
"01","2018","MS","GASOLINA",3.89,4.1998259803921565,4.697
"11","2017","MS","GASOLINA",3.55,3.937046728971963,4.597
"09","2016","MT","DIESEL S10",3.09,3.4926629834254146,3.77
"11","2016","ES","DIESEL",2.73,3.0051981424148604,3.25
"02","2016","AP","DIESEL",3.13,3.447804878048781,3.69
"01","2017","ES","DIESEL",2.78,3.1071320224719097,3.39
"11","2019","SC","GNV",2.699,2.8904141414141415,3.299
"12","2019","PA","DIESEL S10",3.67,4.097691466083151,4.499
"07","2018","GO","GASOLINA",4.299,4.7281630859375,4.999
"04","2019","MS","GASOLINA",3.879,4.248009237875288,4.9
"02","2016","ES","GNV",2.17,2.260076923076923,2.69
"08","2017","TO","GASOLINA",3.6,3.9737079646017697,4.199
"05","2016","RS","ETANOL",2.849,3.5614916600476567,4.296
"12","2019","PB","DIESEL S10",3.549,3.734077519379845,4.099
"05","2017","RS","DIESEL",2.569,2.957276132404181,3.369
"01","2016","SP","DIESEL",2.46,2.923380806533946,3.239
"04","2017","ES","ETANOL",2.739,3.392345323741007,3.89
"04","2019","MT","GASOLINA",4.169,4.4942050314465405,5.04
"01","2020","PR","GASOLINA",4.059,4.414285458879618,4.89
"09","2016","MG","DIESEL S10",2.849,3.1453810143042915,3.49
"05","2017","ES","GNV",2.27,2.321675675675676,2.53
"07","2017","PR","DIESEL",2.39,2.751233466933868,3.299
"05","2017","RR","DIESEL",3.2,3.251794871794872,3.35
"07","2017","RJ","DIESEL S10",2.799,3.269606441476826,3.909
"12","2019","RS","GASOLINA",4.119,4.720242857142857,5.409
"02","2016","RO","DIESEL",3.16,3.3212876712328767,3.499
"10","2019","BA","ETANOL",2.99,3.462929903536977,4.299
"02","2016","CE","DIESEL S10",3.017,3.292283159463487,3.46
"08","2016","PR","GNV",2.4,2.5607894736842107,2.78
"04","2018","ES","DIESEL",3.019,3.354298192771084,3.69
"09","2016","PI","GASOLINA",3.44,3.649206349206349,3.979
"02","2016","AM","DIESEL",2.92,3.3149068322981368,3.67
"12","2020","RR","GASOLINA",4.14,4.260634920634921,4.39
"05","2017","AP","DIESEL",3.09,3.5187078651685395,3.75
"10","2019","SC","ETANOL",2.999,3.530092991913747,3.978
"02","2016","RN","DIESEL",2.95,3.0577307692307696,3.29
"01","2016","DF","DIESEL S10",3.199,3.389325842696629,3.45
"11","2018","PR","GASOLINA",3.95,4.456032279757902,4.96
"01","2019","PR","GASOLINA",3.739,4.166889677771709,4.829
"06","2016","RS","GNV",2.43,2.6538695652173914,3.03
"10","2020","BA","ETANOL",2.91,3.094889908256881,3.699
"01","2016","ES","ETANOL",2.79,3.2016361031518628,3.69
"07","2019","GO","DIESEL S10",3.36,3.6864760191846524,4.04
