UF;MUNICIPIO;TIPO VEICULO;QUANTIDADE
AC;SANTA ROSA DO PURUS;AUTOMOVEL;18
AC;SANTA ROSA DO PURUS;BONDE;0
AC;SANTA ROSA DO PURUS;CAMINHAO;5
AC;SANTA ROSA DO PURUS;CAMINHAO TRATOR;1
AC;SANTA ROSA DO PURUS;CAMINHONETE;25
AC;SANTA ROSA DO PURUS;CAMIONETA;0
AC;SANTA ROSA DO PURUS;CHASSI PLATAF;0
AC;SANTA ROSA DO PURUS;CICLOMOTOR;1
AC;SANTA ROSA DO PURUS;MICRO-ONIBUS;0
AC;SANTA ROSA DO PURUS;MOTOCICLETA;150
AC;SANTA ROSA DO PURUS;MOTONETA;23
AC;SANTA ROSA DO PURUS;ONIBUS;3
AC;SANTA ROSA DO PURUS;QUADRICICLO;0
AC;SANTA ROSA DO PURUS;REBOQUE;1
AC;SANTA ROSA DO PURUS;SEMI-REBOQUE;0
AC;SANTA ROSA DO PURUS;SIDE-CAR;0
AC;SANTA ROSA DO PURUS;OUTROS;2
AC;SANTA ROSA DO PURUS;TRATOR ESTEI;0
AC;SANTA ROSA DO PURUS;TRATOR RODAS;0
AC;SANTA ROSA DO PURUS;TRICICLO;0
AC;SANTA ROSA DO PURUS;UTILITARIO;0
AC;SENA MADUREIRA;AUTOMOVEL;1742
AC;SENA MADUREIRA;BONDE;0
AC;SENA MADUREIRA;CAMINHAO;129
AC;SENA MADUREIRA;CAMINHAO TRATOR;15
AC;SENA MADUREIRA;CAMINHONETE;1061
AC;SENA MADUREIRA;CAMIONETA;69
AC;SENA MADUREIRA;CHASSI PLATAF;0
AC;SENA MADUREIRA;CICLOMOTOR;33
AC;SENA MADUREIRA;MICRO-ONIBUS;6
AC;SENA MADUREIRA;MOTOCICLETA;5063
AC;SENA MADUREIRA;MOTONETA;1835
AC;SENA MADUREIRA;ONIBUS;11
AC;SENA MADUREIRA;QUADRICICLO;0
AC;SENA MADUREIRA;REBOQUE;47
AC;SENA MADUREIRA;SEMI-REBOQUE;23
AC;SENA MADUREIRA;SIDE-CAR;0
AC;SENA MADUREIRA;OUTROS;33
AC;SENA MADUREIRA;TRATOR ESTEI;0
AC;SENA MADUREIRA;TRATOR RODAS;0
AC;SENA MADUREIRA;TRICICLO;2
AC;SENA MADUREIRA;UTILITARIO;25
AC;SENADOR GUIOMARD;AUTOMOVEL;2389
AC;SENADOR GUIOMARD;BONDE;0
AC;SENADOR GUIOMARD;CAMINHAO;359
AC;SENADOR GUIOMARD;CAMINHAO TRATOR;75
AC;SENADOR GUIOMARD;CAMINHONETE;841
AC;SENADOR GUIOMARD;CAMIONETA;79
AC;SENADOR GUIOMARD;CHASSI PLATAF;0
AC;SENADOR GUIOMARD;CICLOMOTOR;23
AC;SENADOR GUIOMARD;MICRO-ONIBUS;10
AC;SENADOR GUIOMARD;MOTOCICLETA;3115
AC;SENADOR GUIOMARD;MOTONETA;489
AC;SENADOR GUIOMARD;ONIBUS;41
AC;SENADOR GUIOMARD;QUADRICICLO;0
AC;SENADOR GUIOMARD;REBOQUE;104
AC;SENADOR GUIOMARD;SEMI-REBOQUE;78
AC;SENADOR GUIOMARD;SIDE-CAR;1
AC;SENADOR GUIOMARD;OUTROS;66
AC;SENADOR GUIOMARD;TRATOR ESTEI;0
AC;SENADOR GUIOMARD;TRATOR RODAS;0
AC;SENADOR GUIOMARD;TRICICLO;3
AC;SENADOR GUIOMARD;UTILITARIO;20
AC;TARAUACA;AUTOMOVEL;694
AC;TARAUACA;BONDE;0
AC;TARAUACA;CAMINHAO;163
AC;TARAUACA;CAMINHAO TRATOR;21
AC;TARAUACA;CAMINHONETE;430
AC;TARAUACA;CAMIONETA;45
AC;TARAUACA;CHASSI PLATAF;0
AC;TARAUACA;CICLOMOTOR;7
AC;TARAUACA;MICRO-ONIBUS;17
AC;TARAUACA;MOTOCICLETA;2672
AC;TARAUACA;MOTONETA;1397
AC;TARAUACA;ONIBUS;24
AC;TARAUACA;QUADRICICLO;0
AC;TARAUACA;REBOQUE;8
AC;TARAUACA;SEMI-REBOQUE;29
AC;TARAUACA;SIDE-CAR;0
AC;TARAUACA;OUTROS;18
AC;TARAUACA;TRATOR ESTEI;0
AC;TARAUACA;TRATOR RODAS;0
AC;TARAUACA;TRICICLO;9
AC;TARAUACA;UTILITARIO;22
AC;XAPURI;AUTOMOVEL;910
AC;XAPURI;BONDE;0
AC;XAPURI;CAMINHAO;93
AC;XAPURI;CAMINHAO TRATOR;4
AC;XAPURI;CAMINHONETE;487
AC;XAPURI;CAMIONETA;30
AC;XAPURI;CHASSI PLATAF;1
AC;XAPURI;CICLOMOTOR;3
AC;XAPURI;MICRO-ONIBUS;4
AC;XAPURI;MOTOCICLETA;3081
AC;XAPURI;MOTONETA;365
AC;XAPURI;ONIBUS;7
AC;XAPURI;QUADRICICLO;0
AC;XAPURI;REBOQUE;33
AC;XAPURI;SEMI-REBOQUE;3
AC;XAPURI;SIDE-CAR;1
AC;XAPURI;OUTROS;19
AC;XAPURI;TRATOR ESTEI;0
AC;XAPURI;TRATOR RODAS;0
